req_id,veh_id,pick_up_time,olng,olat,dlng,dlat,lng,lat
0,2,90,121.257599,31.344310999999998,121.25861,31.344310999999998,121.2626572701358,31.34318149909512
2,5,390,121.26433999999999,31.345978999999996,121.23,31.345978999999996,121.28259933615696,31.34671960635693
3,4,480,121.25706000000001,31.399820000000002,121.24445,31.399820000000002,121.27316645055815,31.360826527213746
4,8,660,121.31776299999999,31.281663,121.30928,31.281663,121.31461999999999,31.28497
6,3,750,121.30596200000001,31.339188,121.26793,31.339188,121.30008857317385,31.33937448596225
7,1,780,121.226679,31.329978000000004,121.189,31.329978000000004,121.21828080398348,31.315942283901617
9,4,1050,121.22828999999999,31.41605,121.23782,31.41605,121.2571916134744,31.399501365772466
12,9,1110,121.323502,31.291451000000002,121.31818,31.291451000000002,121.31653287719023,31.29748898216357
11,0,1110,121.31968700000002,31.283410999999997,121.30527,31.283410999999997,121.31675055535256,31.28761870756843
15,8,1140,121.31543,31.27304,121.29982,31.27304,121.30928,31.281570000000002
13,3,1140,121.29340400000001,31.340329999999998,121.32171000000001,31.340329999999998,121.28000928344048,31.332911362249828
14,2,1140,121.276657,31.29194600000001,121.26845,31.29194600000001,121.30508076717881,31.288966586717386
19,4,1560,121.250099,31.378629999999998,121.26428999999999,31.378629999999998,121.23040882879377,31.410580620322403
22,2,1740,121.25448999999999,31.32327,121.25537,31.32327,121.26845,31.30322
23,4,1890,121.25816999999999,31.36839,121.24891000000001,31.36839,121.24048397723423,31.388668650692807
24,9,1920,121.3016,31.3087,121.27618999999999,31.3087,121.32376197989599,31.301459294387683
25,6,2040,121.22586100000001,31.268185,121.23834,31.268185,121.245193,31.286119
27,2,2310,121.250099,31.378629999999998,121.26428999999999,31.378629999999998,121.25516609103322,31.340940561094907
26,4,2310,121.25662,31.367729999999998,121.237229,31.367729999999998,121.26131213788194,31.369591405660767
30,1,2550,121.222122,31.319353000000003,121.23906000000001,31.319353000000003,121.21907708974123,31.314233575042056
31,1,2610,121.24198999999999,31.35003,121.24065,31.35003,121.22136604347324,31.318082005986604
32,4,2640,121.25216,31.37674,121.24888999999999,31.37674,121.24363308914751,31.383556105548802
33,5,2940,121.20608999999999,31.323290000000004,121.21523,31.323290000000004,121.2412662287323,31.292852121720177
34,3,3000,121.32501,31.30207,121.25861,31.30207,121.32171000000001,31.294990000000002
35,2,3120,121.279149,31.385207,121.27768,31.385207,121.26428999999999,31.37073
36,9,3300,121.321611,31.297287,121.32065,31.297287,121.3102759716354,31.287536670814127
41,7,3390,121.31488999999999,31.311590000000002,121.31237,31.311590000000002,121.3181386081662,31.28701358069301
40,1,3390,121.248672,31.38811500000001,121.27474,31.38811500000001,121.2394644013594,31.36954520587816
42,2,3450,121.28788,31.38585,121.31086,31.38585,121.27860183253759,31.380738031168214
43,8,3570,121.276848,31.274404999999998,121.31419,31.274404999999998,121.29982,31.271690000000003
45,1,3690,121.25303999999998,31.396559999999997,121.27819,31.396559999999997,121.24524381773847,31.387672695257958
46,6,3780,121.21141000000001,31.27987000000001,121.23821000000001,31.27987000000001,121.23834,31.28684
47,7,3870,121.29831999999999,31.31365,121.32558,31.31365,121.31356297904728,31.302932768070544
48,3,3900,121.2771,31.35158,121.25376999999999,31.35158,121.28769117696848,31.34233094759052
52,0,4020,121.31747,31.31083,121.32928000000001,31.31083,121.31232399969478,31.28457878426362
54,8,4290,121.320099,31.282128999999998,121.32351100000001,31.282128999999998,121.3101736121533,31.283415463795233
55,3,4440,121.24536,31.34546,121.26071999999999,31.34546,121.2573337502484,31.33326510347413
58,1,4650,121.25246000000001,31.373590000000004,121.24911000000002,31.373590000000004,121.27762517647643,31.36376053768973
59,3,4680,121.2606,31.36765,121.25813000000001,31.36765,121.24685759005042,31.342858360209675
60,2,4710,121.31641,31.31666,121.32148000000001,31.31666,121.31344145989289,31.326329052957174
62,5,4890,121.19493999999999,31.290509999999998,121.20821000000001,31.290509999999998,121.23945973894504,31.291181370947513
63,6,5010,121.22263000000001,31.28973,121.23355,31.28973,121.23821000000001,31.27406
64,1,5130,121.236378,31.365270000000002,121.227924,31.365270000000002,121.25315565359915,31.373124969222488
66,1,5430,121.2341,31.36893,121.20438,31.36893,121.2342121154274,31.3683054152373
67,5,5490,121.20579,31.31959,121.21318000000001,31.31959,121.19747594657171,31.295146176626247
68,3,5520,121.24083999999999,31.36838,121.24507,31.36838,121.26528296171969,31.341349823768052
69,6,5730,121.2192,31.27122,121.24712,31.27122,121.23355,31.27207000000001
70,1,5850,121.22572,31.3862,121.21438,31.3862,121.21583125186888,31.394068597766903
72,4,5970,121.30363,31.312640000000002,121.31282,31.312640000000002,121.31540070237354,31.297275992282877
73,2,6000,121.31473000000001,31.309690000000003,121.31915,31.309690000000003,121.32148000000001,31.29707
76,1,6270,121.22828999999999,31.41605,121.23782,31.41605,121.21246342715492,31.401059288774785
71,3,6300,121.25701000000001,31.32889,121.25818000000001,31.32889,121.2448582196777,31.346683513607875
77,3,6300,121.25701000000001,31.32889,121.25818000000001,31.32889,121.2448582196777,31.346683513607875
83,3,6960,121.25323300000001,31.344001000000002,121.23518999999999,31.344001000000002,121.26176219620909,31.34430481028423
87,3,7080,121.24755,31.34947,121.268623,31.34947,121.25208756926935,31.34492081077741
